z,centreline,midradius,subsurface
0.024696,,,625.792
0.029923,,,606.903
0.030147,671.998,,
0.034675,,,588.69
0.036585,,,569.804
0.039178,665.567,,
0.039916,,,550.917
0.042299,,,532.706
0.046118,,,495.608
0.048033,,,469.979
0.05122,656.992,,
0.052796,,,436.927
0.054709,,,414.67
0.057099,,,387.017
0.059966,,,355.316
0.06094,,,320.244
0.060953,,,302.709
0.062388,,,285.173
0.06326,650.558,,
0.064299,,,264.264
0.066682,,,247.402
0.067646,,,225.819
0.070974,,,210.304
0.075254,,,190.068
0.076049,648.406,,
0.079058,,,173.204
0.088073,,,157.01
0.090341,647.323,,
0.09661,,,146.886
0.101624,647.313,,
0.110359,,,138.107
0.114411,647.302,,
0.122683,,,132.701
0.126572,,628.403,
0.129456,646.219,,
0.135587,,612.883,
0.135956,,,125.946
0.140739,646.209,,
0.142705,,598.715,
0.149226,,,123.236
0.150773,,583.195,
0.155031,646.197,,
0.157891,,569.027,
0.160599,,,121.204
0.164538,,552.16,
0.167066,646.187,,
0.172449,,,117.146
0.172605,,537.316,
0.179101,646.177,,
0.179726,,519.775,
0.187614,,,115.11
0.188739,,506.279,
0.194898,645.093,,
0.195385,,490.761,
0.198989,,,111.729
0.204873,,475.241,
0.206933,645.082,,
0.211992,,461.072,
0.213681,,,108.344
0.219721,642.931,,
0.22006,,445.554,
0.225003,622.585,,
0.22695,,,106.309
0.229547,,432.057,
0.230281,605.451,,
0.23714,,417.213,
0.239272,,,104.276
0.240836,573.325,,
0.24568,,402.368,
0.250637,543.34,,
0.251593,,,103.59
0.254692,,390.22,
0.257425,518.711,,
0.263453,505.858,,
0.264179,,377.398,
0.265336,,,101.556
0.27099,485.51,,
0.273192,,363.902,
0.278525,467.304,,
0.282681,,349.056,
0.286058,453.38,,
0.291685,437.519,,
0.29264,,337.582,
0.299159,422.217,,
0.303075,,324.085,
0.307231,406.491,,
0.311613,,312.613,
0.314705,390.764,,
0.322048,,299.116,
0.32397,376.311,,
0.332007,,288.99,
0.332935,363.557,,
0.340705,352.08,,
0.344336,,276.84,
0.349969,338.051,,
0.354294,,268.064,
0.358636,324.873,,
0.364253,,257.265,
0.368794,312.543,,
0.37516,,246.465,
0.378953,300.214,,
0.388909,,236.336,
0.389344,286.919,,
0.398868,,225.537,
0.399776,277.467,,
0.410211,264.645,,
0.410719,,218.783,
0.420642,255.868,,
0.421625,,209.331,
0.432495,247.091,,
0.434424,,202.576,
0.442928,235.617,,
0.445803,,193.799,
0.455256,226.164,,
0.459552,,187.043,
0.466161,218.061,,
0.471875,,178.94,
0.478962,209.283,,
0.483729,,174.209,
0.491762,201.179,,
0.497949,,167.452,
0.501241,195.101,,
